Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Extra,Stav,Zdroj,Spárováno,Odkaz na auto
BAIC X35 1.5,389900,1000,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,4x2,Nové,Sauto.cz,Ne,
BAIC X35 1.5,394900,,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,ALL IN T 4×2 6MT,Nové,Sauto.cz,Ne,
BAIC X35 1.5,399900,,2025,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,ALL IN T 4×2 6MT MY25,Nové,Sauto.cz,Ne,
BAIC X35 1.5,389900,4000,2024,Benzín,1.5,,,100,Manuální,,,,Ne,SUV,,,ALL IN T 4×2 6MT,Předváděcí,Sauto.cz,Ne,
BAIC X5 1.5T CVT,689000,1,2025,Benzín,1.5,,,130,Automatická,,,,Ne,SUV,,,"T,ČR,AT,LED,panorama",Ojeté,Sauto.cz,Ano,
BAIC X5 1.5T CVT,689000,1,2025,Benzín,1.5,,,130,Automatická,,,,Ne,SUV,,,"I,ČR,AT,LED,panorama",Ojeté,Sauto.cz,Ano,
BAIC X5 1.5T CVT,659999,10,2026,Benzín,1.5,,,130,Automatická,,,,Ne,SUV,,,T A T LED PANORAMA,Nové,Sauto.cz,Ano,
BAIC X5 1.5T CVT,659999,10,2026,Benzín,1.5,,,130,Automatická,,,,Ne,SUV,,,T A T LED PANORAMA,Nové,Sauto.cz,Ano,
BAIC X5 1.5T CVT,689000,10,2025,Benzín,1.5,,,138,Automatická,,,,Ne,Hatchback,,,"A T, Kamera, PANO",Nové,Sauto.cz,Ano,
BAIC X5 1.5T CVT,643900,10,2026,Benzín,1.5,,,138,Automatická,,,,Ne,SUV,,,"A T, Kamera, PANO",Nové,Sauto.cz,Ano,
BAIC X5 1.5T CVT,649000,11,2025,Benzín,1.5,,,130,Automatická,,,,Ne,SUV,,,T AT Pixel-Led PANO DPH,Ojeté,Sauto.cz,Ano,
BAIC X5 1.5T CVT,649000,13,2025,Benzín,1.5,,,130,Automatická,,,,Ne,SUV,,,T AT Pixel-LED PANO DPH,Ojeté,Sauto.cz,Ano,
BAIC X5 1.5T CVT,643900,25,2025,Benzín,1.5,Turbo,,138,Automatická,,,,Ne,SUV,,,NOVÉ 5 100TIS.KM,Nové,Sauto.cz,Ano,
BAIC X5 1.5T CVT,689000,12,2025,Benzín,1.5,,,130,Automatická,,,,Ne,SUV,,,"T,ČR,AT,LED,kamera",Ojeté,Sauto.cz,Ano,
BAIC X5 1.5T CVT,689000,12,2025,Benzín,1.5,,,130,Automatická,,,,Ne,SUV,,,"T,ČR,AT",Ojeté,Sauto.cz,Ano,
BAIC X5 1.5T CVT,599000,,2026,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,Luxury,,T 4x2,Nové,Sauto.cz,Ano,
BAIC X5 1.5T CVT,599000,,2026,Benzín,1.5,,,130,Automatická,Ano,,,Ne,SUV,Luxury,,T 4x2,Nové,Sauto.cz,Ano,
BAIC X5 1.5T CVT,699900,4,2025,Benzín,1.5,,,138,Automatická,Ano,,,Ne,SUV,,,4x2 T+,Nové,Sauto.cz,Ano,
BAIC X5 1.5T CVT,699900,4,2025,Benzín,1.5,,,138,Automatická,Ano,,,Ne,SUV,,,4x2 T+,Nové,Sauto.cz,Ano,
